"主键","创建者","create_time","更新者","update_time","排序","是否删除  -1：已删除  0：正常","父级部门id","虚拟标识：存在一个虚拟的部门，用来查询所有下级部门中的数据；","部门编码","部门名称","简称","区域名称","部门地址","government","人名政府地址","bureau","复议安监局地址","court","诉讼人民法院地址","bank","缴纳银行地址","bank_account","邮政编码","级别","部门全称","地图id","1 公章 1 执法专用章","writ_dept_name","数据导入类型,是否是本系统生成的数据 默认0 ","地区编码","操作类型","uuid","分类分级","加载时间","是否删除名称-1:已删除,0:正常","部门编码名称","邮政编码名称","级别名称","数据导入类型名称,是否是本系统生成的数据,默认0 ","地区编码名称"
DEPT320500685176647522979840,"1",2023-04-04 17:27:24.000,"1",2026-01-17 22:39:59.000,,"0","320501100000",1,"320501030200",危险化学品安全生产执法一大队,苏苏,,苏州市姑苏区虎丘路88号,苏州市人民政府,,江苏省应急管理厅,,姑苏区人民法院,,工行,,无,"215026","0",苏州市应急管理局,,,苏州市应急管理局,"320500","320500",u,"9d0f97fb-d30b-11ed-bd47-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
a389ab68-baa0-478a-90fe-0100b69b5a3b,,2021-05-11 09:41:12.000,"1",2026-01-27 17:40:10.000,50112,"0","320509",0,"320509050300",八坼街道综合行政执法和安全生产监督管理办公室,苏苏江东八,八坼街道,,苏州市吴江区人民政府,,苏州市应急管理局,,苏州市吴中区人民法院,,,,,"215200","4",苏州市吴江区人民政府八坼街道办事处,,"2",苏州市吴江区人民政府八坼街道办事处,"320500","320500",u,"090f7f99-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
ea338952-b245-4cf8-a961-1d118eb10534,,2021-03-27 00:56:55.000,"1",2026-01-17 22:40:00.000,50005,"0","320509",0,"320509010800",综合科,苏苏江,吴江区,苏州市吴江区永康路536号,苏州市吴江区人民政府,,苏州市应急管理局,,苏州市吴中区人民法院,,苏州农村商业银行营业部（原名：吴江农村商业银行）,,"0706678011120100448577","215200","4",苏州市吴江区应急管理局,,"1",苏州市吴江区应急管理局,"320500","320500",u,"090fdbea-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320500396996623999176704,USER3205190,2021-01-29 12:02:52.000,USER3205198,2026-01-17 22:39:57.000,11,"0","320507",1,"320507570000",苏州市相城区漕湖街道办事处,苏苏相漕,,,,,,,,,,,,,"4",苏州市相城区漕湖街道综合行政执法局,,,苏州市相城区人民政府漕湖街道办事处,"320500","320500",u,"090f977c-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320500281729184336711680,"1",2020-08-05 21:59:46.000,"1",2021-12-20 20:21:44.000,44,-1,DEPT320500281480801009274880,0,"320582414400",港口区域执法大队,苏苏张凤,,凤凰镇凤凰客运站向西100米,张家港市人民政府,张家港市人民中路28号,,,常熟市人民法院,昆山市前进东路1258号,中国工商银行张家港市支行代收罚款网点,苏州市张家港市凤凰镇双龙路93号,"1102028809000002192-002","215612","6",凤凰镇综合执法局港口区域执法大队,,,凤凰镇综合执法局港口区域执法大队,"320500","320500",u,"090f8f8d-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
edad6b77-87b5-4a4f-b37f-78e052f1e944,,2021-03-27 00:56:55.000,"1",2026-01-17 22:40:00.000,3,"0","320509",0,"320509011100",应急指挥科,苏苏江,吴江区,苏州市吴江区永康路536号,苏州市姑苏区人民法院,,苏州市应急管理局,,苏州市吴中区人民法院,,苏州农村商业银行营业部（原名：吴江农村商业银行）,,"0706678011120100448577","215200","4",苏州市吴江区应急管理局,,"1",苏州市吴江区应急管理局,"320500","320500",u,"090fdbfe-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
"320509000007",,2021-04-15 10:41:33.000,"1",2026-01-17 22:39:52.000,50006,"0","320509",0,"320509010300",规划科技科,苏苏江,吴江区,苏州市吴江区永康路536号,苏州市吴江区人民政府,,苏州市应急管理局,,苏州市吴中区人民法院,,苏州农村商业银行营业部（原名：吴江农村商业银行）,,"0706678011120100448577","215200","4",苏州市吴江区应急管理局,,"1",苏州市吴江区应急管理局,"320500","320500",u,"090ef3db-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320500285079740136558592,"1",2020-08-05 21:59:46.000,"1",2026-01-17 22:39:57.000,33,"0","320506",1,"320506550000",胥口镇,苏苏吴胥,,苏州市吴中区胥口镇石胥路235号,苏州市吴中区人民政府,苏州市吴中区胥口镇孙武路602号,,苏州市吴中区苏街99号,苏州市姑苏区人民法院,苏州市吴中区石湖东路102号,中国农业银行胥口支行,苏州市吴中区胥口镇孙武路622号,"540601040017214","215164","4",苏州市吴中区胥口镇人民政府,,,苏州市吴中区胥口镇人民政府,"320500","320500",u,"090f9603-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
"320507110000",,2020-08-05 21:59:46.000,"1",2020-11-03 13:27:56.000,47,-1,"320507",0,"320507470000",黄桥街道安全科,苏苏相黄,苏州市应急管理局,苏州市相城区嘉元路6号,相城区人民政府,苏州市相城区阳澄湖东路8号行政中心主楼2号楼,苏州市应急管理局,苏州市虎丘路88号,苏州市姑苏区人民法院,苏州市金储街298号,中国工商银行相城支行,苏州市相城区嘉元路666号,"1102026509000073364
","215131","4",苏州市相城区应急管理局,,,苏州市相城区应急管理局,"0","320500",u,"090ef190-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320500685177731201110016,"1",2023-04-04 17:31:42.000,,2026-01-17 22:39:59.000,,"0","320501100000",1,"320501030500",工矿商贸安全生产执法二大队,苏苏,,苏州市姑苏区虎丘路88号,苏州市人民政府,,江苏省应急管理厅,,姑苏区人民法院,,工行,,无,"215026","0",苏州市应急管理局,,,苏州市应急管理局,"320500","320500",u,"9d0f9846-d30b-11ed-bd47-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320500685178461462990848,"1",2023-04-04 17:34:36.000,,2026-01-17 22:39:59.000,,"0","320501100000",1,"320501030600",防灾减灾执法大队,苏苏,,苏州市姑苏区虎丘路88号,苏州市人民政府,,江苏省应急管理厅,,姑苏区人民法院,,工行,,无,"215026","0",苏州市应急管理局,,,苏州市应急管理局,"320500","320500",u,"9d0f985d-d30b-11ed-bd47-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320505913443470742392832,"1",2024-12-24 14:58:15.000,"1",2026-01-17 22:39:59.000,3,"0","320583010000",1,"320583030300",执法一中队（开发区、陆家）,苏苏昆,,昆山市夏东街689号A栋,昆山市人民政府,,苏州市应急管理局,,常熟市人民法院,,中国建设银行股份有限公司昆山分行营业部,,"32201986436051511978-703201","215300","4",昆山市应急管理局,,,昆山市应急管理局,"320500","320500",u,"30710aea-c21a-11ef-b4a9-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320500282958451401822208,"1",2020-08-05 21:59:46.000,"1",2021-12-20 20:21:44.000,11,-1,"320583",1,"320583110000",地震与地质灾害救援科,苏苏昆,,,昆山市人民政府（昆山市司法局）,昆山市前进西路1801号B栋609,苏州市应急管理局,苏州市虎丘路88号,常熟市人民法院,张家港市人民东路100号,中国建设银行,, 32201986436051511978-822101,,"4",昆山市应急管理局,,,昆山市应急管理局,"320500","320500",u,"090f9146-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
"320585",,2020-08-05 21:59:46.000,"1",2026-01-17 22:39:54.000,1,"0","3205",0,"320585",苏州太仓市应急管理局,苏苏太,苏州市应急管理局,苏州市太仓市高新区县府东街99号,太仓市人民政府,苏州市太仓市高新区县府东街99号,苏州市应急管理局,苏州市姑苏区虎丘路88号,常熟市人民法院,苏州市淮河路2号,工商银行太仓支行,苏州市太仓市上海东路10号,"1102024009000121073
","215400","3",太仓市应急管理局,"320585",,太仓市应急管理局,"320500","320500",u,"090efb56-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320585396670723705278464,"1",2021-01-28 14:27:51.000,"1",2026-01-17 22:40:00.000,1,"0","320585030000",1,"320585030300",一中队,苏苏太,,苏州市太仓市高新区县府东街99号,太仓市人民政府,,苏州市应急管理局,,常熟市人民法院,,工商银行太仓支行,,"1102024009000121073","215400","5",太仓市应急管理局,,,太仓市应急管理局,"320500","320500",u,"090f9d17-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
"320509108900","102785a6-8a70-4695-9ffd-4798d631ba3a",2021-04-15 10:41:33.000,"1",2026-01-27 12:39:39.000,50106,"0","320509",0,"320509100100",震泽镇综合行政执法和安全生产监督管理办公室,苏苏江震,震泽镇,,苏州市吴江区人民政府,,苏州市应急管理局,,苏州市吴中区人民法院,,,,,"215200","4",苏州市吴江区震泽镇人民政府,,"2",苏州市吴江区震泽镇人民政府,"320500","320500",u,"090ef646-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
"320571060000",,2020-08-05 21:59:46.000,"1",2026-02-10 17:39:19.000,2,"0","320571",0,"320571060000",综合处（协调处）,苏苏园,苏州市应急管理局,苏州工业园区现代大道999号现代大厦六楼,苏州工业园区管理委员会,苏州工业园区现代大道999号现代大厦,苏州市应急管理局,苏州市虎丘路88号,苏州市吴中区人民法院,苏州市金储街298号,建设银行苏州工业园区支行,苏州工业园区旺墩路158号,"322019888360582002000002
","215028","4",苏州工业园区应急管理局,,,苏州工业园区应急管理局,"320500","320500",u,"090ef763-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
"320501010000",,2020-08-05 21:59:46.000,"1",2026-01-17 22:39:51.000,1,"0","320501",0,"320501010000",局领导,苏苏,江苏省应急厅,苏州市姑苏区虎丘路88号,苏州市人民政府,苏州市姑苏区三香路998号,江苏省应急管理厅,南京市鼓楼区北京西路15号,姑苏区人民法院,苏州市姑苏区金储街298号,工行,无,无,"215026","4",苏州市应急管理局,,,苏州市应急管理局,"320500","320500",u,"090eea36-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320500408284938396241920,"1",2021-03-01 15:38:36.000,"1",2026-01-17 22:39:57.000,20,"0","320582",1,"320582170000",南丰镇综合行政执法局,苏苏张,,张家港市暨阳东路252号,张家港市人民政府,,苏州市应急管理局,,常熟市人民法院,,中国工商银行张家港市财税大厦分理处,,"1102028809000002192-002","215600","4",张家港市应急管理局,,,张家港市应急管理局,"320500","320500",u,"090f9792-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320500283923607090892800,"1",2020-08-05 21:59:46.000,"1",2026-01-17 22:39:56.000,43,"0","320581",1,"320581430000",琴川街道,苏苏常琴,,常熟市金山路9号,常熟市人民政府,常熟市金沙江路6号,,,苏州市姑苏区人民法院,张家港市人民东路100号,中国农业银行常熟分行,常熟市海虞北路17号,"007001","215500","4",常熟市人民政府琴川街道办事处,,,常熟市人民政府琴川街道办事处,"320500","320500",u,"090f9430-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320500280740075518562304,"1",2020-08-05 21:59:46.000,"1",2022-08-25 22:45:19.000,47,-1,"320506",1,"320506470000",郭巷街道办事处综合行政执法局,苏苏吴郭,,苏州市吴中区越溪塔韵路苏街198号,苏州市吴中区人民政府,苏州市吴中区太湖东路288号,苏州市应急管理局,苏州市姑苏区虎丘路88号,有管辖权的人民法院,苏州市姑苏区金储街298号,工商银行吴中支行,吴中区东吴北路18号,"1102026209000058227","215104","4",苏州市吴中区应急管理局,,,苏州市吴中区应急管理局,"320500","320500",i,"090f8d94-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320500280740458768896000,"1",2020-08-05 21:59:46.000,"1",2026-01-17 22:39:55.000,35,"0","320506",0,"320506480000",临湖镇,苏苏吴临,,苏州市吴中区越溪塔韵路苏街198号,苏州市吴中区人民政府,苏州市吴中区太湖东路288号,,苏州市姑苏区虎丘路88号,苏州市姑苏区人民法院,苏州市姑苏区金储街298号,工商银行吴中支行,吴中区东吴北路18号,"1102026209000058227","215104","4",苏州市吴中区临湖镇人民政府,,,苏州市吴中区临湖镇人民政府,"320500","320500",u,"090f8da7-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
"320501090000",,2020-08-05 21:59:46.000,"1",2026-01-17 22:39:51.000,10,"0","320501",0,"320501100000",其他执法人员,苏苏,江苏省应急厅,苏州市姑苏区虎丘路88号,苏州市人民政府,苏州市姑苏区三香路998号,江苏省应急管理厅,南京市鼓楼区北京西路15号,姑苏区人民法院,苏州市姑苏区金储街298号,工行,无,无,"215026","4",苏州市应急管理局,,,苏州市应急管理局,"320500","320500",u,"090eebae-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320500414782674721312768,"1",2021-03-19 13:58:17.000,,2021-12-20 20:21:45.000,19,-1,"320501",1,"320501190000",救灾保障处,苏苏,,苏州工业园区现代大道999号现代大厦六楼,苏州市人民政府,,江苏省应急管理厅,,姑苏区人民法院,,工行,,无,"215011","4",苏州市应急管理局,,,苏州市应急管理局,"320500","320500",u,"090f9900-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320500415101223641812992,"1",2021-03-20 11:04:05.000,"1",2026-01-17 22:39:58.000,14,"0","320508",1,"320508190000",白洋湾街道,苏苏姑,,苏州市姑苏区西环路2115号,姑苏区人民政府,,苏州市应急管理局,,吴中区人民法院,,中国工商银行苏州分行,,执法机构代码：10441001,"215000","4",苏州市姑苏区应急管理局,,,苏州市姑苏区综合行政执法局,"320500","320500",u,"090f99fd-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320500439067991296970752,"0effa5bb-7711-488c-916c-c23830a77bfd",2021-05-25 14:19:28.000,"0effa5bb-7711-488c-916c-c23830a77bfd",2026-01-17 22:39:59.000,50279,"0","320509",1,"32050906107",江陵街道综合执法局,苏苏江江,,吴江经济技术开发区庞金路2599号,苏州市吴江区人民政府,,,,苏州市吴中区人民法院,,苏州市吴江区财政局非税收入专户,,苏州农村商业银行营业部：0706678011120100448577,"215200","4",苏州市吴江区江陵街道综合行政执法局,,"2",苏州市吴江区人民政府江陵街道办事处,"320500","320500",u,f32a5c7c-2c46-11ec-b626-fa163e11a32f,"1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320500685177322491351040,"1",2023-04-04 17:30:05.000,,2026-01-17 22:39:59.000,,"0","320501100000",1,"320501030400",工矿商贸安全生产执法一大队,苏苏,,苏州市姑苏区虎丘路88号,苏州市人民政府,,江苏省应急管理厅,,姑苏区人民法院,,工行,,无,"215026","0",苏州市应急管理局,,,苏州市应急管理局,"320500","320500",u,"9d0f982f-d30b-11ed-bd47-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
"320582",,2020-08-05 21:59:46.000,"1",2026-01-17 22:39:54.000,1,"0","3205",0,"320582",苏州张家港市应急管理局,苏苏张,苏州市应急管理局,张家港市华昌路505号,张家港市人民政府,张家港市人民中路28号,苏州市应急管理局,苏州市虎丘路88号,常熟市人民法院,昆山市前进东路1258号,中国工商银行张家港市财税大厦分理处,张家港市人民中路50号张家港市财政大厦,"1102028809000002192-002
","215600","3",张家港市应急管理局,"320582",,张家港市应急管理局,"320500","320500",u,"090ef8ed-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320500281731495360466944,"1",2020-08-05 21:59:46.000,"1",2021-12-20 20:21:44.000,1,-1,DEPT320500281482683735871488,0,"320582420100",塘桥镇综合行政执法局,苏苏张塘,,江苏省苏州市张家港市塘桥镇富民路金桥塑胶西100米,张家港市人民政府,江苏省苏州市张家港市人民中路28号,,,常熟市人民法院,江苏省苏州市昆山市前进东路1258号,中国工商银行张家港塘桥支行,苏州市张家港市塘桥镇南京西路31号,"1102028809000002192-002","215611","6",张家港市塘桥镇综合行政执法局,,,张家港市塘桥镇综合行政执法局,"320500","320500",u,"090f9016-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320500415831569647800320,"1",2021-03-22 11:26:13.000,"1",2026-01-17 22:39:58.000,6,"0","320508",1,"320508060000",法规科,苏苏姑,,苏州市姑苏区西环路2115号,姑苏区人民政府,,苏州市应急管理局,,吴中区人民法院,,中国工商银行苏州分行 ,,执法机构代码：10441001,"215000","4",苏州市姑苏区应急管理局,,,苏州市姑苏区综合行政执法局,"320500","320500",u,"090f9a0f-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
"320582040000",,2020-08-05 21:59:46.000,"1",2026-01-17 22:39:54.000,4,"0","320582",0,"320582040000",政策法规科,苏苏张,苏州市应急管理局,张家港市华昌路505号,张家港市人民政府,张家港市人民中路28号,苏州市应急管理局,苏州市虎丘路88号,常熟市人民法院,昆山市前进东路1258号,中国工商银行张家港市财税大厦分理处,张家港市人民中路50号张家港市财政大厦,"1102028809000002192-002
","215600","4",张家港市应急管理局,,,张家港市应急管理局,"320500","320500",u,"090ef9f4-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320585391617032677756928,"1",2021-01-14 15:46:17.000,"1",2021-12-20 20:21:46.000,49,-1,"320585",1,"320585490000",科教新城安监办,苏苏太高,,苏州市太仓市高新区县府东街99号,太仓市人民政府,,苏州市应急管理局,,昆山市人民法院,,工商银行太仓支行,,"1102024009000121073","215400","4",太仓市应急管理局,,,,"320500","320500",u,"090f9cde-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
"320509000003",,2021-03-27 00:56:55.000,"1",2026-01-17 22:39:52.000,50004,"0","320509",0,"320509010200",安全生产基础科,苏苏江,吴江区,苏州市吴江区永康路536号,苏州市吴江区人民政府,,苏州市应急管理局,,苏州市吴中区人民法院,,苏州农村商业银行营业部（原名：吴江农村商业银行）,,"0706678011120100448577","215200","4",苏州市吴江区应急管理局,,"1",苏州市吴江区应急管理局,"320500","320500",u,"090ef3c8-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
"320507140000",,2020-08-05 21:59:46.000,"1",2020-11-03 13:28:02.000,49,-1,"320507",0,"320507490000",元和街道安监科,苏苏相元,苏州市应急管理局,苏州市相城区嘉元路6号,相城区人民政府,苏州市相城区阳澄湖东路8号行政中心主楼2号楼,苏州市应急管理局,苏州市虎丘路88号,苏州市姑苏区人民法院,苏州市金储街298号,中国工商银行相城支行,苏州市相城区嘉元路666号,"1102026509000073364
","215131","4",苏州市相城区应急管理局,,,苏州市相城区应急管理局,"0","320500",u,"090ef1ca-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320500283955084469997568,"1",2020-08-05 21:59:46.000,"1",2022-11-18 22:43:33.000,49,-1,"320581",1,"320581490000",辛庄安监办,苏苏常辛,,常熟市辛庄镇新阳大道100号,常熟市人民政府,常熟市金沙江路12号 ,,,苏州市姑苏区人民法院,张家港市人民东路100号 ,中国农业银行常熟市支行,,执法单位编码：042008,"215562","4",辛庄镇人民政府安监办,,,辛庄镇人民政府安监办,"320500","320500",i,"090f9509-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
"320501040000",,2020-08-05 21:59:46.000,"1",2021-12-20 20:21:41.000,15,-1,"320501",0,"320501150000",调查评估处,苏苏,江苏省应急厅,苏州工业园区现代大道999号现代大厦六楼,苏州市人民政府,苏州市姑苏区三香路998号,江苏省应急管理厅,南京市鼓楼区北京西路15号,姑苏区人民法院,苏州市姑苏区金储街298号,工行,无,无,"215011","4",苏州市应急管理局,,,苏州市应急管理局,"320500","320500",u,"090eea72-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
DEPT320500280740874126626816,"1",2020-08-05 21:59:46.000,"1",2026-01-17 22:39:55.000,32,"0","320506",1,"320506490000",甪直镇,苏苏吴甪,,苏州市吴中区甪直镇鸿达路26号,苏州市吴中区人民政府,苏州市吴中区太湖东路288号,,苏州市姑苏区虎丘路88号,苏州市姑苏区人民法院,苏州市姑苏区金储街298号,工商银行吴中支行,吴中区东吴北路18号,"1102026209000058227","215104","4",苏州市吴中区甪直镇人民政府,,,苏州市吴中区甪直镇人民政府,"320500","320500",u,"090f8de0-b2fc-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:10",,,,,,苏州市
