场景,企业ID,企业名称,管理类别,风险等级,预测风险等级,是否发生事故,安全生产标准化建设情况,企业职工总人数,专职安全生产管理人员数,兼职安全生产管理人员数,上一年经营收入,固定资产,是否发现问题隐患 0-否 1-是,具体风险描述,管控措施,安全等级,企业规模,行业监管大类,国民经济大类,报告时间,数据来源,是否规上企业,是否投保,是否履行三同时手续,厂中厂,有风险项,爆炸性粉尘企业,氨制冷企业,有限空间企业,重大危险源,金属冶炼企业,燃气企业,有限空间作业企业,危化品企业,风险重点企业,关键风险企业,数据有效标识,危化品企业标识,危险化学品使用,有限空间关键企业,最近风险报告ID,安全管理人员数量,部门安全管理人员数量,专职安全管理人持证员数,兼职安全管理人持证员数,特种作业持证人数,投保金额,工伤保险支出（万元）,投保人数,上一年人员流动率,总风险数,A级风险数,B级风险数,C级风险数,D级风险数,曾发事故的风险数,检查总次数,检查发现问题次数,隐患总数,一般隐患数,重大隐患数,未整改隐患数,文书总数,立案文书数,检查文书数,处罚金额,干式除尘系统数量,除尘作业次数,转炉数量,电炉数量,生产状态,经营状态,国民经济门类,国民经济中类,国民经济小类,经度,纬度,危化品储罐数量,重大危险源数量,消防设施完好率,气体检测仪在线率,高炉容积_m3,煤气柜容量_万m3,铁水包在线数量,炉壳温度测点完好率,煤气报警器覆盖率,抛光工位数量,湿式除尘器数量,粉尘清扫制度执行率,防爆电气覆盖率,静电接地完好率,高炉数量
chemical,CHEM-2-001,瑞祥危化品储运（模拟-黄）,1021,2,黄,0,3,758,3,1,36924,3661,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-04-23,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-777278,4,1,3,1,47,1299.03,11.21,585,0.064,2,0,0,0,1,0,30,4,4,4,0,0,4,0,4,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.904401,31.243305,6,2,0.87,0.82,,,,,,,,,,,
chemical,CHEM-2-002,远东危化品储运（模拟-黄）,1022,2,黄,0,3,603,4,2,46562,119946,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-04-14,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-326895,6,2,4,2,38,832.08,51.27,407,0.101,1,0,0,0,1,0,22,5,7,7,0,0,2,0,2,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.096791,31.980511,4,2,0.84,0.8,,,,,,,,,,,
chemical,CHEM-2-003,盛泰危化品储运（模拟-黄）,1023,2,黄,0,2,54,1,0,18477,12931,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-05-23,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-561865,1,1,1,0,2,2706.15,27.67,42,0.109,2,0,0,0,2,0,15,5,6,6,0,0,1,0,1,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.614087,31.065343,8,1,0.87,0.86,,,,,,,,,,,
chemical,CHEM-2-004,恒源危化品储运（模拟-黄）,1024,2,黄,0,3,195,1,0,6082,66061,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-05-17,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-696251,1,1,1,0,11,1738.2,61.81,130,0.116,3,0,0,0,2,0,17,7,8,8,0,0,4,0,4,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.707788,31.211025,2,1,0.84,0.84,,,,,,,,,,,
chemical,CHEM-2-005,新能危化品储运（模拟-黄）,1025,2,黄,0,3,200,2,1,30024,181714,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-05-10,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-820775,3,1,2,1,6,799.59,65.39,166,0.087,1,0,0,0,1,0,33,8,10,10,0,0,3,0,3,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.303906,31.197819,2,3,0.84,0.8,,,,,,,,,,,
chemical,CHEM-2-006,华安危化品储运（模拟-黄）,1026,2,黄,0,2,312,1,0,5179,16633,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-05-16,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-624783,1,1,1,0,16,1270.7,51.86,257,0.111,2,0,0,0,2,0,19,5,7,7,0,0,4,0,4,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.234534,31.603714,1,1,0.84,0.86,,,,,,,,,,,
chemical,CHEM-2-007,金源危化品储运（模拟-黄）,1027,2,黄,0,2,629,4,2,44558,71650,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-05-28,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-953797,6,2,4,2,31,328.18,34.36,391,0.067,3,0,0,0,2,0,32,1,2,2,0,0,3,0,3,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.170134,31.857733,6,2,0.88,0.81,,,,,,,,,,,
chemical,CHEM-2-008,宏达精细化工（模拟-黄）,1028,2,黄,0,2,450,2,1,30307,24084,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-04-25,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-584417,3,1,2,1,20,590.22,35.32,395,0.101,2,0,0,0,1,0,24,5,7,7,0,0,5,0,5,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.125409,31.759991,4,2,0.87,0.89,,,,,,,,,,,
chemical,CHEM-2-009,瑞祥精细化工（模拟-黄）,1029,2,黄,0,3,488,2,1,8457,8567,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-04-11,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-583863,3,1,2,1,37,1841.77,20.78,348,0.115,2,0,0,0,2,0,34,4,5,5,0,0,5,0,5,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.791862,31.705412,7,2,0.91,0.81,,,,,,,,,,,
chemical,CHEM-2-010,远东精细化工（模拟-黄）,1030,2,黄,0,3,604,6,3,12991,158123,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2026-05-08,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RPT-396578,9,3,6,3,38,2357.93,50.59,557,0.093,3,0,0,0,2,0,30,3,3,3,0,0,3,0,3,0.0,0,0,0,0,正常生产,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.365261,31.446547,8,2,0.85,0.87,,,,,,,,,,,
