场景,企业ID,企业名称,管理类别,风险等级,预测风险等级,是否发生事故,安全生产标准化建设情况,企业职工总人数,专职安全生产管理人员数,兼职安全生产管理人员数,上一年经营收入,固定资产,是否发现问题隐患 0-否 1-是,具体风险描述,管控措施,安全等级,企业规模,行业监管大类,国民经济大类,报告时间,数据来源,是否规上企业,是否投保,是否履行三同时手续,厂中厂,有风险项,爆炸性粉尘企业,氨制冷企业,有限空间企业,重大危险源,金属冶炼企业,燃气企业,有限空间作业企业,危化品企业,风险重点企业,关键风险企业,数据有效标识,危化品企业标识,危险化学品使用,有限空间关键企业,最近风险报告ID,安全管理人员数量,部门安全管理人员数量,专职安全管理人持证员数,兼职安全管理人持证员数,特种作业持证人数,投保金额,工伤保险支出（万元）,投保人数,上一年人员流动率,总风险数,A级风险数,B级风险数,C级风险数,D级风险数,曾发事故的风险数,检查总次数,检查发现问题次数,隐患总数,一般隐患数,重大隐患数,未整改隐患数,文书总数,立案文书数,检查文书数,处罚金额,干式除尘系统数量,除尘作业次数,转炉数量,电炉数量,生产状态,经营状态,国民经济门类,国民经济中类,国民经济小类,经度,纬度,危化品储罐数量,重大危险源数量,消防设施完好率,气体检测仪在线率,高炉容积_m3,煤气柜容量_万m3,铁水包在线数量,炉壳温度测点完好率,煤气报警器覆盖率,抛光工位数量,湿式除尘器数量,粉尘清扫制度执行率,防爆电气覆盖率,静电接地完好率,高炉数量
chemical,CHEM-2024-001,宏达危化品储运有限公司,1003,4,红,1,2,320,4,2,8500,12000,1,3号储罐区可燃气体浓度异常升高，达到爆炸下限的38%，同时通风系统2号风机故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,C级,中型,危险化学品,化学原料和化学制品制造业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,0.78,0.65,,,,,,,,,,,
chemical,CHEM-4-001,瑞祥危化品储运（模拟-红）,1041,4,红,0,1,363,2,1,5241,183266,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-04-26,演示CSV,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,RPT-842776,3,1,2,1,11,398.84,68.19,252,0.101,7,2,1,2,2,0,20,8,10,10,0,1,8,1,7,11.78,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.347788,31.795046,17,3,0.65,0.59,,,,,,,,,,,
chemical,CHEM-4-002,远东危化品储运（模拟-红）,1042,4,红,1,1,367,3,1,905,118720,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-04-26,演示CSV,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,RPT-211090,4,1,3,1,7,129.37,45.75,226,0.173,5,3,0,1,1,1,33,8,11,11,2,3,7,0,7,5.28,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.080518,31.575235,16,4,0.63,0.65,,,,,,,,,,,
chemical,CHEM-4-003,盛泰危化品储运（模拟-红）,1043,4,红,1,1,331,1,0,501,127555,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-05-11,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,RPT-123682,1,1,1,0,23,323.98,57.4,245,0.116,6,3,0,1,2,1,17,5,8,8,0,0,10,0,10,12.29,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.4839,31.243913,7,5,0.6,0.62,,,,,,,,,,,
chemical,CHEM-4-004,恒源危化品储运（模拟-红）,1044,4,红,1,1,266,2,1,1826,168897,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-04-26,演示CSV,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,RPT-219490,3,1,2,1,9,431.32,46.94,175,0.192,7,2,2,1,2,1,35,7,10,10,0,0,5,0,5,2.13,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.096971,31.611308,20,3,0.62,0.66,,,,,,,,,,,
chemical,CHEM-4-005,新能危化品储运（模拟-红）,1045,4,红,1,1,346,3,1,7825,162083,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-04-26,演示CSV,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,RPT-681868,4,1,3,1,10,144.42,23.1,244,0.225,3,1,1,0,1,1,32,2,3,3,1,0,10,0,10,13.2,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.11941,31.865522,2,4,0.6,0.65,,,,,,,,,,,
chemical,CHEM-4-006,华安危化品储运（模拟-红）,1046,4,红,1,1,317,2,1,5909,129902,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-05-26,演示CSV,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,RPT-380901,3,1,2,1,21,411.64,35.68,210,0.222,5,3,0,0,2,1,27,8,11,11,0,0,10,0,10,2.98,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,120.541611,31.71898,19,3,0.69,0.57,,,,,,,,,,,
chemical,CHEM-4-007,金源危化品储运（模拟-红）,1047,4,红,0,1,364,2,1,3984,69895,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-04-26,演示CSV,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,RPT-403387,3,1,2,1,19,476.2,46.01,318,0.234,7,1,2,2,2,1,25,2,5,5,0,0,5,0,5,6.98,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.315181,31.135589,15,3,0.69,0.66,,,,,,,,,,,
chemical,CHEM-4-008,宏达精细化工（模拟-红）,1048,4,红,1,1,94,1,0,1498,187487,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-05-19,演示CSV,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,RPT-866437,1,1,1,0,7,317.42,58.81,66,0.226,8,3,2,1,2,1,24,4,7,7,1,0,3,0,3,13.26,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.295678,31.397716,15,3,0.64,0.6,,,,,,,,,,,
chemical,CHEM-4-009,瑞祥精细化工（模拟-红）,1049,4,红,1,1,175,1,0,4937,128228,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-04-28,演示CSV,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,RPT-362552,1,1,1,0,4,332.25,55.42,165,0.098,3,1,0,0,2,1,24,1,1,1,0,1,5,1,4,15.7,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.125604,31.725988,9,4,0.65,0.64,,,,,,,,,,,
